Country,population,area,gdp_nominal,hdi,life_expectancy
India,1417492000,3287263,4187017,,
China,1408280000,9596960,19231705,,
United States,340110988,9525067,30507217,0.938,
Indonesia,284438782,1904569,1429743,,
Pakistan,241499431,796095,,,
Nigeria,223800000,923768,,,
Brazil,212583750,8510346,2125958,,
Bangladesh,169828911,148460,,,
Russia,146028325,17098246,2076396,,
Mexico,130417144,1964375,1692640,,
Japan,123360000,377930,4186431,,84.71
Philippines,114123600,300000,,,
Democratic Republic of the Congo,112832000,2344858,,,
Ethiopia,111652998,1104300,,,
Egypt,107271260,1001450,,,
Vietnam,101343800,331212,,,
Iran,85961000,1648195,,,
Turkey,85664944,783562,1437406,,
Germany,83577140,357114,4744804,0.959,
France,68649000,551695,3211292,,
United Kingdom,68265209,242495,3839180,0.946,
Tanzania,68153004,947303,,,
Thailand,65870610,513120,,,
South Africa,63015904,1221037,,,
Italy,58918231,301336,2422855,,83.72
Kenya,53330978,580367,,,
Colombia,52695952,1141748,,,
Sudan,51662000,1861484,,,
Myanmar,51316756,676578,,,
South Korea,51164582,100210,1790322,0.937,84.33
Uganda,49924868,241550,,,
Spain,48059777,505990,1799511,,83.67
Iraq,44414800,435244,,,
Algeria,44758398,2381741,,,
Argentina,47327407,2780400,,,
Poland,37840000,312679,979960,,
Canada,39858480,9984670,2225341,0.939,
Morocco,38081173,446550,,,
Saudi Arabia,35844909,2149690,1083749,,
Ukraine,36000000,603500,,,
Angola,35027343,1246700,,,
Uzbekistan,34915100,447400,,,
Peru,34234630,1285216,,,
Malaysia,33938221,330803,,,
Afghanistan,34262840,652230,,,
Venezuela,33098422,912050,,,
Ghana,33475870,238533,,,
Yemen,33696614,527968,,,
Nepal,30327877,147181,,,
Mozambique,33089461,801590,,,
Syria,25620000,185180,,,
Burkina Faso,24070553,274222,,,
Taiwan,23346741,36193,804889,,
Mali,22395489,1240192,,,
Sri Lanka,21763170,65610,,,
Malawi,20734262,118484,,,
Kazakhstan,20370672,2724910,,,
Chile,20206953,756096,,,
Zambia,19693423,752612,,,
Somalia,19655000,637657,,,
Chad,19340757,1284000,,,
Romania,19064409,238391,,,
Senegal,18126390,196722,,,
Guatemala,18079810,108889,,,
Netherlands,18077662,41850,1272011,0.955,
Cambodia,17577760,181035,,,
Zimbabwe,17073087,390757,,,
Ecuador,16938986,283561,,,
South Sudan,15786898,619745,,,
Guinea,14363931,245857,,,
Rwanda,14104969,26338,,,
Benin,13224860,112622,,,
Burundi,12332788,27830,,,
Tunisia,11972169,163610,,,
Haiti,11867032,27750,,,
Belgium,11825551,30528,,0.951,
Papua New Guinea,11781559,462840,,,
Jordan,11734000,89342,,,
Bolivia,11312620,1098581,,,
Czech Republic,10876875,78867,,,
Dominican Republic,10771504,48671,,,
Portugal,10749635,92090,,,
United Arab Emirates,10678556,83600,,0.94,
Sweden,10591058,450295,,0.959,
Tajikistan,10499000,143100,,,
Greece,10400720,131957,,,
Azerbaijan,10236227,86600,,,
Israel,10098200,22072,,,
Honduras,9892632,112492,,,
Cuba,9748007,109884,,,
Hungary,9539502,93028,,,
Austria,9202428,83879,,,
Belarus,9081361,207600,,,
Cyprus,966400,9251,,,
Fiji,900869,18274,,,
Australia,,7741220,1771681,0.958,83.92
Libya,,1759540,,,
Mongolia,,1564110,,,
Niger,,1267000,,,
Mauritania,,1030700,,,
Namibia,,825615,,,
Central African Republic,,622984,,,
Madagascar,,587041,,,
Botswana,,582000,,,
Turkmenistan,,488100,,,
Cameroon,,475442,,,
Paraguay,,406752,,,
Norway,,385207,,0.97,
Republic of the Congo,,342000,,,
Finland,,338424,,0.948,
Ivory Coast,,322463,,,
Oman,,309500,,,
New Zealand,,268838,,0.938,
Gabon,,267668,,,
Laos,,236800,,,
Guyana,,214969,,,
Kyrgyzstan,,199951,,,
Uruguay,,176215,,,
Suriname,,163820,,,
Nicaragua,,130373,,,
North Korea,,120538,,,
Eritrea,,117600,,,
Liberia,,111369,,,
Bulgaria,,110879,,,
Iceland,,103000,,0.972,
Panama,,75417,,,
Sierra Leone,,71740,,,
Ireland,,70273,,0.949,
Georgia,,69700,,,
Lithuania,,65300,,,
Latvia,,64559,,,
Togo,,56785,,,
Croatia,,56594,,,
Bosnia and Herzegovina,,51197,,,
Costa Rica,,51100,,,
Slovakia,,49035,,,
Estonia,,45228,,,
Denmark,,43094,,0.962,
Switzerland,,41285,947125,0.97,83.95
Bhutan,,38394,,,
Guinea-Bissau,,36125,,,
Moldova,,33846,,,
Lesotho,,30355,,,
Armenia,,29743,,,
Solomon Islands,,28896,,,
Albania,,28748,,,
Equatorial Guinea,,28051,,,
Djibouti,,23200,,,
Belize,,22966,,,
El Salvador,,21041,,,
Slovenia,,20273,,,
Kuwait,,17818,,,
Eswatini,,17364,,,
East Timor,,14874,,,
Bahamas,,13943,,,
Montenegro,,13812,,,
Vanuatu,,12189,,,
Qatar,,11586,,,
Gambia,,11295,,,
Jamaica,,10991,,,
Kosovo,,10887,,,
Lebanon,,10452,,,
Brunei,,5765,,,
Trinidad and Tobago,,5130,,,
Cape Verde,,4033,,,
Samoa,,2831,,,
Luxembourg,,2586,,,
Comoros,,2235,,,
Mauritius,,2040,,,
São Tomé and Príncipe,,964,,,
Kiribati,,811,,,
Bahrain,,765,,,
Dominica,,751,,,
Tonga,,747,,,
Singapore,,719,,0.946,83.74
Micronesia,,702,,,
Palau,,459,,,
Andorra,,468,,,84.04
Seychelles,,452,,,
Antigua and Barbuda,,442,,,
Barbados,,430,,,
Saint Vincent and the Grenadines,,389,,,
Malta,,316,,,
Maldives,,298,,,
Saint Kitts and Nevis,,261,,,
Niue,,260,,,
Cook Islands,,236,,,
Marshall Islands,,181,,,
Liechtenstein,,160,,0.938,
San Marino,,61,,,
Tuvalu,,26,,,
Nauru,,21,,,
Monaco,,2,,,
Vatican City,,0.17,,,
Hong Kong,,,,0.955,85.51
French Polynesia,,,,,84.07