Country,population,gdp_nominal,gdp_per_capita,area,hdi
India,1417492000,4187017,,,
China,1408280000,19231705,,,
United States,340110988,30507217,,,
Indonesia,284438782,1429743,,,
Pakistan,241499431,,,,
Nigeria,223800000,,,,
Brazil,212583750,2125958,,,
Bangladesh,169828911,,,,
Russia,146028325,2076396,,,
Mexico,130417144,1692640,,,
Japan,123360000,4186431,,,
Philippines,114123600,,,,
Democratic Republic of the Congo,112832000,,,,
Ethiopia,111652998,,,,
Egypt,107271260,,,,
Vietnam,101343800,,,,
Iran,85961000,,,,
Turkey,85664944,1437406,,,
Germany,83577140,4744804,,,
France,68649000,3211292,,,
United Kingdom,68265209,3839180,,,
Tanzania,68153004,,,,
Thailand,65870610,,,,
South Africa,63015904,,,,
Italy,58918231,2422855,,,
Kenya,53330978,,,,
Colombia,52695952,,,,
Sudan,51662000,,,,
Myanmar,51316756,,,,
South Korea,51164582,1790322,,,
Uganda,49924868,,,,
Spain,48059777,1799511,,,
Iraq,44414800,,,,
Algeria,44758398,,,,
Argentina,47327407,,,,
Poland,37840000,979960,,,
Canada,39858480,2225341,,,
Morocco,38081173,,,,
Saudi Arabia,35844909,1083749,,,
Ukraine,36000000,,,,
Angola,35027343,,,,
Uzbekistan,34915100,,,,
Peru,34234630,,,,
Malaysia,33938221,,,,
Afghanistan,34262840,,,,
Venezuela,33098422,,,,
Ghana,33475870,,,,
Yemen,33696614,,,,
Nepal,30327877,,,,
Mozambique,33089461,,,,
Syria,25620000,,,,
Burkina Faso,24070553,,,,
Taiwan,23346741,804889,,,
Mali,22395489,,,,
Sri Lanka,21763170,,,,
Malawi,20734262,,,,
Kazakhstan,20370672,,,,
Chile,20206953,,,,
Zambia,19693423,,,,
Somalia,19655000,,,,
Chad,19340757,,,,
Romania,19064409,,,,
Senegal,18126390,,,,
Guatemala,18079810,,,,
Netherlands,18077662,1272011,,,
Cambodia,17577760,,,,
Zimbabwe,17073087,,,,
Ecuador,16938986,,,,
South Sudan,15786898,,,,
Guinea,14363931,,,,
Rwanda,14104969,,,,
Benin,13224860,,,,
Burundi,12332788,,,,
Tunisia,11972169,,,,
Haiti,11867032,,,,
Belgium,11825551,,,,
Papua New Guinea,11781559,,,,
Jordan,11734000,,,,
Bolivia,11312620,,,,
Czech Republic,10876875,,,,
Dominican Republic,10771504,,,,
Portugal,10749635,,,,
United Arab Emirates,10678556,,,,
Sweden,10591058,,,,
Tajikistan,10499000,,,,
Greece,10400720,,,,
Azerbaijan,10236227,,,,
Israel,10098200,,,,
Honduras,9892632,,,,
Cuba,9748007,,,,
Hungary,9539502,,,,
Austria,9202428,,,,
Belarus,9081361,,,,
Cyprus,966400,,,,
Fiji,900869,,,,
Australia,,1771681,,,
Switzerland,,947125,,,